127.0.0.1 - - [05/Jul/2020:23:12:11 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:12:15 +0900] "GET /board/list HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:12:15 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /board/list HTTP/1.1" 200 61002
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/metisMenu/metisMenu.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /dist/css/sb-admin-2.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/metisMenu/metisMenu.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /dist/js/sb-admin-2.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:14:56 +0900] "GET /vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 404 721
